region_name,mflow,mdist,rft_keep,buff_geo_dist,to_rebuild,n_flow_inter_regional,n_flow,n_people_inter_regional,n_people,build_date,run_time
avon,10,20,0.05,100,1,5059,4557,346055,324278,28/04/2017,21.47214699
bedfordshire,10,20,0.05,100,1,2525,1322,165137,124570,28/04/2017,20.36603689
berkshire,10,20,0.05,100,1,4550,2341,267970,193348,28/04/2017,22.07220721
buckinghamshire,10,20,0.05,100,1,3514,1694,224314,157991,28/04/2017,21.71417189
cambridgeshire,10,20,0.05,100,1,1845,1347,223365,189610,28/04/2017,22.10120988
cheshire,10,20,0.05,100,1,5119,1908,295371,192438,28/04/2017,15.69800019
cornwall-and-isles-of-scilly,10,20,0.05,100,1,851,628,111149,99566,28/04/2017,9.036999941
cumbria,10,20,0.05,100,1,381,362,120840,119268,28/04/2017,9.861999989
derbyshire,10,20,0.05,100,1,5192,2565,311419,218921,28/04/2017,32.53900003
devon,10,20,0.05,100,1,2475,2191,290742,276090,28/04/2017,20.7809999
dorset,10,20,0.14,100,1,2274,1864,199067,173937,28/04/2017,13.14199996
east-sussex,10,20,0.05,100,1,2706,1766,210553,176148,28/04/2017,11.65100002
essex,10,20,0.05,100,1,6112,4152,409178,345050,28/04/2017,12.41599989
gloucestershire,10,20,0.05,100,1,1556,1229,163950,145820,28/04/2017,16.05599999
greater-manchester,20,20,0.25,100,1,9904,8674,687812,636615,28/04/2017,19.16699982
hampshire,10,20,0.05,100,1,7333,5585,516687,445284,28/04/2017,16.65299988
hereford-and-worcester,10,20,0.05,100,1,2753,1518,197699,159062,28/04/2017,9.970000029
hertfordshire,10,20,0.05,100,1,6230,3374,294770,212262,28/04/2017,22.16700006
humberside,10,20,0.05,100,1,2188,1926,258031,241621,28/04/2017,20.51099992
isle-of-wight,10,20,0.05,100,1,163,143,32637,32262,28/04/2017,12.7420001
kent,10,20,0.05,100,1,5539,4458,400457,367393,28/04/2017,20.55700016
lancashire,10,20,0.05,100,1,5549,4257,410301,371844,28/04/2017,12.38199997
leicestershire,20,20,0.25,100,1,3211,2686,284344,253579,28/04/2017,19.04400015
lincolnshire,10,20,0.05,100,1,1021,639,162816,136624,28/04/2017,13.76200008
liverpool-city-region,10,20,0.05,100,1,8265,6426,438696,380651,28/04/2017,16.84100008
london,70,20,0.25,100,1,6911,6582,1002927,963673,2017-04-28,13.59735894203186
norfolk,10,20,0.05,100,1,1644,1375,212762,190408,28/04/2017,12.61100006
northamptonshire,10,20,0.4,100,1,2291,1794,201245,173636,28/04/2017,25.51499987
northumberland,10,20,0.05,100,1,1239,329,74682,41932,28/04/2017,11.13599992
north-yorkshire,10,20,0.15,100,1,1724,853,198207,158366,28/04/2017,9.930999994
nottinghamshire,10,20,0.7,100,1,5522,3899,320466,265762,28/04/2017,22.71599984
oxfordshire,10,20,0.05,100,1,1941,1358,183565,156657,28/04/2017,9.980000019
shropshire,10,20,0.05,100,1,1001,697,113531,100438,28/04/2017,19.13800001
somerset,10,20,0.05,100,1,1080,675,132052,110149,28/04/2017,13.86800003
south-yorkshire,10,20,0.05,100,1,6404,5135,384610,348967,28/04/2017,21.7329998
staffordshire,10,20,0.05,100,1,5491,3007,336131,249374,28/04/2017,21.86999989
suffolk,10,20,0.05,100,1,1426,950,186440,155754,28/04/2017,17.14599991
surrey,10,20,0.05,100,1,7437,3285,328065,194839,28/04/2017,18.17900014
warwickshire,10,20,0.08,100,1,3945,2629,262867,209898,28/04/2017,21.27900004
west-midlands,50,20,0.3,100,1,3558,3224,393678,364460,28/04/2017,12.25300002
west-sussex,10,20,0.05,100,1,3014,1588,225461,172224,28/04/2017,13.0619998
west-yorkshire,10,20,0.05,100,1,11958,10950,643561,611077,28/04/2017,23.23199987
wiltshire,10,20,0.05,100,1,1681,1121,183564,156384,28/04/2017,9.433000088
north-east,20,20,0.09,100,1,6944,6271,621155,586748,28/04/2017,13.88100004
