region_name,minflow_visualise,minflow_rnet,mingodutch_rnet,rnet_keep,to_rebuild,to_rebuild_rnet,n_flow,n_people,n_flow_rnet,n_people_rnet,build_date,run_min
avon,5,10,0,0.05,1,0,20289,261245,NA,NA,2019-11-06,6.68
bedfordshire,5,10,0,0.05,1,0,9632,123905,NA,NA,2019-11-06,2.13
berkshire,5,10,0,0.05,1,0,15066,195704,NA,NA,2019-11-06,4.12
buckinghamshire,5,10,0,0.05,1,0,12614,164073,NA,NA,2019-11-06,2.93
cambridgeshire,5,10,0,0.05,1,0,11998,204913,NA,NA,2019-11-06,2.85
cheshire,5,10,0,0.05,1,0,15910,220481,NA,NA,2019-11-06,3.83
cornwall-and-isles-of-scilly,5,10,0,0.05,1,0,5766,115016,NA,NA,2019-11-06,1.54
cumbria,5,10,0,0.05,1,0,5067,134127,NA,NA,2019-11-06,1.07
derbyshire,5,10,0,0.05,1,0,17611,239823,NA,NA,2019-11-06,4.74
devon,5,10,0,0.05,1,0,15962,274291,NA,NA,2019-11-06,3.99
dorset,5,10,0,0.14,1,0,12158,176815,NA,NA,2019-11-06,2.6
east-sussex,5,10,0,0.05,1,0,12600,167058,NA,NA,2019-11-06,2.37
essex,5,10,0,0.05,1,0,23093,317174,NA,NA,2019-11-06,5.24
gloucestershire,5,10,0,0.05,1,0,9525,148370,NA,NA,2019-11-06,2.25
greater-manchester,5,20,30,0.25,1,0,45909,522984,NA,NA,2019-11-06,8.83
hampshire,5,10,0,0.05,1,0,30401,403037,NA,NA,2019-11-06,7.39
hereford-and-worcester,5,10,0,0.05,1,0,10592,169872,NA,NA,2019-11-06,2.8
hertfordshire,5,10,0,0.05,1,0,16652,207034,NA,NA,2019-11-06,4.18
humberside,5,10,0,0.05,1,0,13732,232661,NA,NA,2019-11-06,3.03
isle-of-wight,5,10,0,0.05,1,0,1819,34824,NA,NA,2019-11-06,0.54
kent,5,10,0,0.05,1,0,23162,325425,NA,NA,2019-11-06,5.74
lancashire,5,10,0,0.05,1,0,25013,337559,NA,NA,2019-11-06,5.69
leicestershire,5,20,0,0.25,1,0,17634,238943,NA,NA,2019-11-06,4.76
lincolnshire,5,10,0,0.05,1,0,7797,163715,NA,NA,2019-11-06,2.14
liverpool-city-region,5,10,0,0.05,1,0,26380,301421,NA,NA,2019-11-06,5.68
london,5,70,150,0.25,1,0,125317,1239212,NA,NA,2019-11-07,43.35
norfolk,5,10,0,0.05,1,0,11056,190868,NA,NA,2019-11-07,3.18
northamptonshire,5,10,0,0.4,1,0,10797,172346,NA,NA,2019-11-07,3.41
north-east,5,20,20,0.09,1,0,37876,514343,NA,NA,2019-11-07,8.86
northumberland,5,10,0,0.05,1,0,4161,62438,NA,NA,2019-11-07,1.15
north-yorkshire,5,10,0,0.15,1,0,10288,190560,NA,NA,2019-11-07,2.81
nottinghamshire,5,10,0,0.7,1,0,19075,235873,NA,NA,2019-11-07,5.17
oxfordshire,5,10,0,0.05,1,0,9668,159848,NA,NA,2019-11-07,2.54
shropshire,5,10,0,0.05,1,0,6139,110074,NA,NA,2019-11-07,1.65
somerset,5,10,0,0.05,1,0,6762,129245,NA,NA,2019-11-07,2.33
south-yorkshire,5,10,0,0.05,1,0,22947,286480,NA,NA,2019-11-07,5.89
staffordshire,5,10,0,0.05,1,0,19385,254015,NA,NA,2019-11-07,5.1
suffolk,5,10,0,0.05,1,0,9819,175229,NA,NA,2019-11-07,2.39
surrey,5,10,0,0.05,1,0,17963,207165,NA,NA,2019-11-07,5.01
wales,5,10,20,0.05,1,0,39411,655311,NA,NA,2019-11-07,10.97
warwickshire,5,10,0,0.08,1,0,15169,204093,NA,NA,2019-11-07,4.64
west-midlands,5,50,30,0.3,1,0,39576,413565,NA,NA,2019-11-07,9.67
west-sussex,5,10,0,0.05,1,0,12062,179931,NA,NA,2019-11-07,3.05
west-yorkshire,5,10,0,0.05,1,0,37454,466805,NA,NA,2019-11-07,9.2
wiltshire,5,10,0,0.05,1,0,10390,170622,NA,NA,2019-11-07,3.13
