region_name,minflow_visualise,mingodutch_rnet,to_rebuild,n_flow,n_people,build_date,run_min
avon,10,0,1,4564,327595,2019-08-15,2.47
bedfordshire,10,2,1,1917,149465,09/01/2019,4.53
berkshire,10,0,1,3990,253743,09/01/2019,12.79
buckinghamshire,10,0,1,2855,201732,09/01/2019,6.6
cambridgeshire,10,0,1,1340,205047,09/01/2019,4.07
cheshire,10,0,1,4156,268690,09/01/2019,6.61
cornwall-and-isles-of-scilly,10,0,1,613,97973,09/01/2019,1.19
cumbria,10,0,1,306,112479,09/01/2019,0.58
derbyshire,10,0,1,4520,293287,09/01/2019,12.91
devon,10,0,1,2025,270564,09/01/2019,6.83
dorset,10,0,1,2012,190723,09/01/2019,14.37
east-sussex,10,0,1,2271,198107,09/01/2019,5.15
essex,10,0,1,5124,376545,09/01/2019,17.79
gloucestershire,10,0,1,1196,150401,09/01/2019,4.51
greater-manchester,10,30,1,16363,772374,10/01/2019,74.91
hampshire,10,0,1,6181,483241,10/01/2019,27.37
hereford-and-worcester,10,0,1,2288,181113,10/01/2019,5.07
hertfordshire,10,0,1,5676,278156,10/01/2019,17.44
humberside,10,0,1,1870,243173,10/01/2019,5.87
isle-of-wight,10,0,1,145,31638,10/01/2019,0.53
kent,10,0,1,4682,374834,10/01/2019,17.24
lancashire,10,0,1,4920,393603,10/01/2019,18.8
leicestershire,10,0,1,3792,283810,10/01/2019,27.17
lincolnshire,10,0,1,717,145769,10/01/2019,1.35
liverpool-city-region,10,0,1,7934,427046,10/01/2019,27.61
london,10,150,1,61051,2250073,10/01/2019,123.86
norfolk,10,0,1,1219,184600,10/01/2019,4.78
northamptonshire,10,0,1,1782,185062,10/01/2019,14.62
north-east,10,20,1,9238,637237,10/01/2019,44
northumberland,10,0,1,946,65770,10/01/2019,1.58
north-yorkshire,10,0,1,1144,170824,10/01/2019,2.73
nottinghamshire,10,0,1,5022,306207,10/01/2019,138.11
oxfordshire,10,0,1,1477,166095,10/01/2019,4.84
shropshire,10,0,1,740,102009,10/01/2019,1.84
somerset,10,0,1,751,119029,10/01/2019,1.65
south-yorkshire,10,0,1,6007,372754,10/01/2019,30.73
staffordshire,10,0,1,4753,315052,10/01/2019,15.3
suffolk,10,0,1,971,164509,10/01/2019,1.97
surrey,10,0,1,6647,302657,10/01/2019,18.38
wales,10,20,1,6725,668812,10/01/2019,45.89
warwickshire,10,0,1,3341,245506,10/01/2019,18.49
west-midlands,10,30,1,16471,671475,10/01/2019,49.44
west-sussex,10,0,1,2340,205681,10/01/2019,4.76
west-yorkshire,10,0,1,11578,627429,10/01/2019,86.87
wiltshire,10,0,1,1282,169828,10/01/2019,4.81
