length,name
495.0,london
36.0,kent
10.0,greater-manchester
10.0,west-midlands
7.0,surrey
7.0,west-yorkshire
5.0,buckinghamshire
5.0,essex
5.0,south-yorkshire
4.0,berkshire
4.0,hampshire
4.0,northamptonshire
4.0,north-east
3.0,avon
3.0,cheshire
3.0,derbyshire
3.0,devon
3.0,hereford-and-worcester
3.0,hertfordshire
3.0,lancashire
3.0,leicestershire
3.0,liverpool-city-region
3.0,nottinghamshire
3.0,staffordshire
2.0,bedfordshire
2.0,humberside
2.0,northumberland
2.0,warwickshire
2.0,wiltshire
1.0,cambridgeshire
1.0,cornwall-and-isles-of-scilly
1.0,dorset
1.0,gloucestershire
1.0,norfolk
1.0,oxfordshire
1.0,west-sussex
NA,cleveland
NA,cumbria
NA,east-sussex
NA,isle-of-wight
NA,lincolnshire
NA,north-yorkshire
NA,shropshire
NA,somerset
NA,suffolk
