region_name,mingodutch_rnet,minflow_rnet,rnet_keep,to_rebuild,to_rebuild_rnet,n_flow_rnet,n_people_rnet,build_date,run_min
avon,0,5,0.05,1,0,5016,118996,21/06/2019,0.02
bedfordshire,0,5,0.05,1,0,3021,82783,21/06/2019,0.03
berkshire,0,5,0.05,1,0,4363,102879,21/06/2019,0.03
buckinghamshire,0,5,0.05,1,0,3597,89519,21/06/2019,0.02
cambridgeshire,0,5,0.05,1,0,2501,90977,21/06/2019,0.03
cheshire,0,5,0.05,1,0,3909,104987,21/06/2019,0.04
cornwall-and-isles-of-scilly,0,5,0.05,1,0,1544,57340,21/06/2019,0.02
cumbria,0,5,0.05,1,0,1719,55124,21/06/2019,0.02
derbyshire,0,5,0.05,1,0,4087,123493,21/06/2019,0.04
devon,0,5,0.05,1,0,4110,120687,21/06/2019,0.03
dorset,0,5,0.05,1,0,3043,71964,21/06/2019,0.02
east-sussex,0,5,0.05,1,0,3177,76661,21/06/2019,0.02
essex,0,5,0.05,1,0,7500,196920,21/06/2019,0.05
gloucestershire,0,5,0.05,1,0,2493,64350,21/06/2019,0.05
greater-manchester,30,5,0.05,1,0,15177,334475,21/06/2019,0.06
hampshire,0,5,0.05,1,0,7318,180086,21/06/2019,0.04
hereford-and-worcester,0,5,0.05,1,0,2725,77125,21/06/2019,0.03
hertfordshire,0,5,0.05,1,0,6255,142315,21/06/2019,0.03
humberside,0,5,0.05,1,0,3406,109557,21/06/2019,0.03
isle-of-wight,0,5,0.05,1,0,578,14216,21/06/2019,0.01
kent,0,5,0.05,1,0,9407,196336,21/06/2019,0.04
lancashire,0,5,0.05,1,0,7877,172639,21/06/2019,0.03
leicestershire,0,5,0.05,1,0,4330,121316,21/06/2019,0.04
lincolnshire,0,5,0.05,1,0,2427,74651,21/06/2019,0.03
liverpool-city-region,0,5,0.05,1,0,9485,185840,21/06/2019,0.04
london,170,10,0.05,1,0,25202,695278,21/06/2019,0.14
norfolk,0,5,0.05,1,0,2740,87604,21/06/2019,0.03
northamptonshire,0,5,0.05,1,0,3160,87727,21/06/2019,0.02
north-east,10,5,0.05,1,0,11439,284067,21/06/2019,0.06
northumberland,0,5,0.05,1,0,1099,37558,21/06/2019,0.01
north-yorkshire,0,5,0.05,1,0,2800,82766,21/06/2019,0.04
nottinghamshire,0,5,0.05,1,0,4574,124542,21/06/2019,0.04
oxfordshire,0,5,0.05,1,0,2273,71025,21/06/2019,0.03
shropshire,0,5,0.05,1,0,1604,50973,21/06/2019,0.02
somerset,0,5,0.05,1,0,1665,54635,21/06/2019,0.02
south-yorkshire,0,5,0.05,1,0,5780,170617,21/06/2019,0.03
staffordshire,0,5,0.05,1,0,4636,127354,21/06/2019,0.03
suffolk,0,5,0.05,1,0,2541,78023,21/06/2019,0.03
surrey,0,5,0.05,1,0,4796,108502,21/06/2019,0.03
warwickshire,0,5,0.05,1,0,4102,102007,21/06/2019,0.04
west-midlands,30,5,0.05,1,0,14337,323202,21/06/2019,0.07
west-sussex,0,5,0.05,1,0,3224,86138,21/06/2019,0.02
west-yorkshire,0,5,0.05,1,0,11553,300796,21/06/2019,0.05
wiltshire,0,5,0.05,1,0,2521,75955,21/06/2019,0.03
