name,date,to_rebuild
avon,2016-08-10,FALSE
bedfordshire,2016-08-10,FALSE
berkshire,2016-08-10,FALSE
buckinghamshire,2016-08-10,FALSE
cambridgeshire,2016-08-09,FALSE
cheshire,2016-08-10,FALSE
cleveland,2016-08-10,FALSE
cornwall-and-isles-of-scilly,2016-08-10,FALSE
cumbria,2016-08-10,FALSE
derbyshire,2016-08-10,FALSE
devon,2016-08-10,FALSE
dorset,2016-08-11,FALSE
east-sussex,2016-08-10,FALSE
essex,2016-08-11,FALSE
gloucestershire,2016-08-11,FALSE
greater-manchester,2016-05-20,TRUE
hampshire,2016-08-11,FALSE
hereford-and-worcester,2016-08-11,FALSE
hertfordshire,2016-08-11,FALSE
humberside,2016-08-11,FALSE
isle-of-wight,2016-08-10,FALSE
kent,2016-08-09,FALSE
lancashire,2016-08-11,FALSE
leicestershire,2016-08-11,FALSE
lincolnshire,2016-08-11,FALSE
liverpool-city-region,2016-08-11,FALSE
london,2016-08-11,FALSE
norfolk,2016-08-11,FALSE
northamptonshire,2016-08-11,FALSE
north-east,2016-05-20,TRUE
northumberland,2016-05-20,TRUE
north-yorkshire,2016-08-11,FALSE
nottinghamshire,2016-05-20,TRUE
oxfordshire,2016-08-11,FALSE
shropshire,2016-08-11,FALSE
somerset,2016-05-20,TRUE
south-yorkshire,2016-08-11,FALSE
staffordshire,2016-08-11,FALSE
suffolk,2016-08-11,FALSE
surrey,2016-08-11,FALSE
warwickshire,2016-08-11,FALSE
west-midlands,2016-08-10,FALSE
west-sussex,2016-08-11,FALSE
west-yorkshire,2016-05-20,TRUE
wiltshire,2016-08-11,FALSE
