name,date,to_rebuild
avon,2016-08-15,FALSE
bedfordshire,2016-08-10,TRUE
berkshire,2016-08-10,TRUE
buckinghamshire,2016-08-10,TRUE
cambridgeshire,2016-08-09,TRUE
cheshire,2016-08-10,TRUE
cleveland,2016-08-10,TRUE
cornwall-and-isles-of-scilly,2016-08-10,TRUE
cumbria,2016-08-10,TRUE
derbyshire,2016-08-14,TRUE
devon,2016-08-15,FALSE
dorset,2016-08-12,TRUE
east-sussex,2016-08-15,FALSE
essex,2016-08-12,TRUE
gloucestershire,2016-08-15,FALSE
greater-manchester,2016-08-16,FALSE
hampshire,2016-08-12,TRUE
hereford-and-worcester,2016-08-12,TRUE
hertfordshire,2016-08-12,TRUE
humberside,2016-08-15,FALSE
isle-of-wight,2016-08-10,TRUE
kent,2016-08-09,TRUE
lancashire,2016-08-12,TRUE
leicestershire,2016-08-17,FALSE
lincolnshire,2016-08-12,TRUE
liverpool-city-region,2016-08-16,FALSE
london,2016-08-15,FALSE
norfolk,2016-08-12,TRUE
northamptonshire,2016-08-17,FALSE
north-east,2016-08-17,FALSE
northumberland,2016-08-12,TRUE
north-yorkshire,2016-08-16,FALSE
nottinghamshire,2016-08-14,TRUE
oxfordshire,2016-08-16,FALSE
shropshire,2016-08-10,TRUE
somerset,2016-08-14,TRUE
south-yorkshire,2016-08-11,TRUE
staffordshire,2016-08-11,TRUE
suffolk,2016-08-11,TRUE
surrey,2016-08-11,TRUE
warwickshire,2016-08-11,TRUE
west-midlands,2016-08-17,FALSE
west-sussex,2016-08-11,TRUE
west-yorkshire,2016-08-16,FALSE
wiltshire,2016-08-14,TRUE
